"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MGST1",2.19286141176471,8.5674645,16.7235742001489,1.98216692171785e-20,6.36122521240821e-20,36.0693919562557
"GLCCI1",1.18679371764706,3.38806188636364,16.7124675083979,2.03200982439563e-20,6.52013788279564e-20,36.0442217913191
"EGR2",1.32648662941176,3.77530443181818,16.7106670050791,2.04020943098723e-20,6.54539963509547e-20,36.0401402892673
"SLC45A3",0.917070958823529,3.31856156818182,16.7096686484112,2.04477054479862e-20,6.55898215426837e-20,36.0378770062183
"RAG1",1.01600005882353,3.99068384090909,16.70850055761,2.05012031286047e-20,6.57508967454705e-20,36.0352288067488
"SLC43A3",3.63680389411765,5.91099329545455,16.7049581357428,2.06643178600148e-20,6.62634249034444e-20,36.0271968768778
"GABRA6",2.42371788235294,4.19678834090909,16.6988084068831,2.0950638945873e-20,6.71708065562944e-20,36.0132502462444
"CSTA",1.87765441176471,6.07003784090909,16.6970199305588,2.10346644302699e-20,6.74294123647249e-20,36.0091935426546
"LINC00622",1.31226628823529,5.02672915909091,16.691856633854,2.12791778452075e-20,6.82023184952313e-20,35.9974801046278
"PLAAT2",1.82764452941176,5.44913254545455,16.6914038321958,2.13007585180108e-20,6.82605654507748e-20,35.9964527518083
"CLDN19",2.67623241764706,5.19200438636364,16.6863874252073,2.15413407540521e-20,6.90204955190612e-20,35.9850697379428
"OR2J3",1.34352002941176,3.44097768181818,16.6854305242606,2.15875466240491e-20,6.91574818443869e-20,35.9828980908407
"SLC43A2",2.2628901117647,6.11616686363636,16.6844609893287,2.16344656390318e-20,6.92920370013752e-20,35.9806976770339
"POU3F3",1.77050173529412,4.43736352272727,16.6844196968554,2.16364662262182e-20,6.92920370013752e-20,35.9806039593443
"CALCR",2.24358154705882,6.84393875,16.6820787628856,2.17501916660576e-20,6.96451150023122e-20,35.9752906771614
"GPR108",1.77786353529412,6.526403,16.6788983394695,2.19056779675887e-20,7.0131778975026e-20,35.9680710949774
"ZFX",3.97933229411765,6.75676302272727,16.6786184285851,2.19194165623203e-20,7.01645497884948e-20,35.9674356464478
"ARHGEF9",1.36970014705882,4.98495293181818,16.6758647723386,2.20550409240343e-20,7.05874069005042e-20,35.9611839243976
"GLRX5",1.91379085294118,5.58925086363636,16.6750802183242,2.20938385668283e-20,7.07002834138504e-20,35.959402583609
"RTKN",1.69368995294118,9.03203175,16.6726462120633,2.22146481604782e-20,7.10755201965659e-20,35.9538757423591
"VPS52",1.86600545882353,8.08697984090909,16.671598202604,2.22668723884129e-20,7.12312340601543e-20,35.9514958671388
"GTF2E2",-2.5479093,4.25440459090909,-16.6697711219728,2.23582187584511e-20,7.15120290865866e-20,35.9473465702239
"LINC02225",1.15367931764706,5.55061177272727,16.6695446026405,2.23695703702352e-20,7.1536914696129e-20,35.9468321216827
"MEG9",1.53965741176471,5.91837147727273,16.6673714953549,2.24787708697338e-20,7.18746589086206e-20,35.9418965092288
"OPN3",1.12052509411765,4.19748636363636,16.6652223021926,2.25873043877461e-20,7.22101630219168e-20,35.93701474104
"NFKB2",4.06352249411764,5.496535,16.6618462231722,2.27588754154428e-20,7.27470547825355e-20,35.9293452284011
"SLC35B4",1.47056805294118,4.93198438636364,16.660467867826,2.28293044255852e-20,7.29605338630062e-20,35.9262136566703
"ANKRD40CL",2.09365417647059,3.96157729545455,16.6584611093097,2.29322401501979e-20,7.32778169865631e-20,35.9216540325715
"RENBP",1.78393462941177,8.27587054545454,16.6562931419552,2.30439769882672e-20,7.36231175484799e-20,35.9167276621626
"ZEB1-AS1",1.17766478823529,4.27141802272727,16.6535059763201,2.31884434248085e-20,7.40728589835376e-20,35.9103935601031
"PDZD4",5.24372531764706,6.36884420454545,16.6501058263416,2.33659338904284e-20,7.46256091149275e-20,35.9026653266368
"APOL3",2.79863556470588,10.06955825,16.6500486184703,2.33689320076847e-20,7.46256091149275e-20,35.9025352882991
